Автор,Место работы автора,Специализация адресата,Содержание,Примечание,Количество слов
1232,785,5,581,0,11
608,48,1,1444,0,12
1243,807,3,1032,0,10
1748,906,5,1297,0,14
1600,759,10,797,0,6
1458,123,5,3459,0,11
49,421,1,1985,0,6
608,48,5,1532,0,2
389,48,1,2152,0,4
1031,329,10,938,0,6
205,765,3,1032,0,10
1395,357,5,3767,0,5
108,864,4,2379,0,9
946,779,3,1032,0,10
88,346,1,389,0,7
280,415,3,901,0,9
229,502,10,572,0,11
244,572,4,3609,0,10
786,1206,9,1225,0,9
896,521,3,993,0,7
979,739,3,608,0,6
1672,596,4,1514,0,3
1430,1135,10,3524,0,11
459,261,5,1433,0,9
1611,800,3,1032,0,10
233,1282,3,1032,0,10
1456,729,3,1032,0,10
65,760,3,1032,0,10
91,776,10,1357,0,7
587,733,10,1534,0,6
1167,46,5,3646,0,15
88,346,1,110,0,13
1232,829,5,3149,0,9
113,866,5,1794,0,10
663,747,3,625,0,9
1675,829,5,1931,0,13
1345,736,10,1466,0,4
750,728,3,2,0,10
1430,1135,5,3523,0,12
541,1215,5,3436,0,4
1232,829,5,2713,229,11
1051,49,5,3147,0,24
217,1409,7,2410,0,10
694,601,1,1621,0,6
1232,785,5,579,0,11
137,1300,1,837,0,3
1441,1385,1,737,0,16
711,906,10,3246,221,10
395,925,1,863,0,6
925,1203,3,1696,0,8
341,629,5,3602,0,6
476,20,5,1267,0,13
704,764,3,620,0,5
1147,1400,7,3354,0,4
395,925,1,356,0,5
110,277,9,3062,0,8
488,236,5,284,0,12
253,752,10,1465,63,5
864,464,3,227,0,4
786,1206,9,3613,0,7
1616,645,3,1030,0,8
854,81,10,294,0,8
900,1462,10,3074,0,6
395,925,1,1430,0,8
314,136,10,2097,0,4
253,752,10,3450,0,6
964,1165,1,376,136,10
1526,728,10,3447,0,6
1056,1177,10,878,0,7
1284,724,5,1902,0,17
633,79,6,829,0,2
31,794,10,932,0,5
476,20,5,2678,170,8
403,759,10,1534,0,6
1723,517,10,2493,0,7
1688,973,1,1110,0,6
1029,979,1,1111,0,5
1041,1028,1,1112,0,5
1748,906,5,3218,0,13
1579,829,5,564,0,9
608,48,5,3316,0,5
1675,793,5,2475,0,11
1038,138,5,3506,0,23
1089,263,1,3262,0,19
253,752,10,1537,0,9
1069,481,7,3609,0,10
590,452,3,607,0,7
1279,897,4,3609,0,10
1433,653,5,2377,0,10
48,781,1,1161,0,9
651,829,5,1848,0,16
651,829,5,1849,0,15
1530,681,10,2287,0,6
1748,906,5,2333,0,5
513,211,5,596,0,15
843,1341,9,3561,0,8
128,1112,4,3609,0,10
1343,1281,10,3498,0,16
608,48,5,693,0,7
1056,1177,1,2481,0,10
554,889,5,3548,0,11
1557,552,5,1097,0,9
1232,785,5,1058,0,22
1232,785,5,1921,0,7
676,870,5,3115,0,17
1709,739,10,1681,0,6
172,880,5,3728,24,10
1175,66,6,1164,113,4
740,1266,5,3408,0,10
665,163,7,3303,0,3
1675,791,5,3509,0,11
836,963,1,1713,0,4
590,452,10,649,0,6
814,799,10,3444,0,4
53,296,2,2599,0,5
770,758,9,2818,0,5
1464,888,4,378,0,5
521,1458,5,2985,0,13
567,322,10,2787,0,5
1274,708,1,2663,0,8
1274,708,1,2665,0,8
1274,708,1,2664,0,8
1709,739,10,3425,0,7
1745,112,6,1166,0,4
835,832,10,3444,0,4
656,765,10,3444,0,4
651,791,3,1312,0,8
1303,515,6,2410,0,10
590,452,10,2504,0,7
354,805,4,3609,0,10
786,1206,10,1764,0,6
651,791,5,1049,0,5
651,791,5,1047,0,8
1103,648,3,1696,0,8
476,849,5,2470,0,10
1167,46,5,2212,216,7
1102,1329,4,1555,0,7
844,1032,1,3067,0,5
385,260,5,3456,0,10
1776,1102,5,596,0,15
1584,734,5,867,0,7
1405,237,5,1505,0,7
1530,681,1,726,0,9
1232,829,5,2919,0,11
88,346,9,232,0,11
88,346,9,233,0,9
1192,945,1,1709,0,8
515,814,10,572,0,11
88,346,9,236,0,10
88,346,9,235,0,11
706,347,9,234,0,10
1465,347,9,231,0,11
687,1414,10,1635,0,5
1782,368,1,370,0,9
1395,357,10,2624,0,4
1433,654,9,1405,0,13
1433,654,10,3444,0,4
1433,653,9,2376,0,7
934,730,10,3484,0,5
1723,517,10,3498,0,16
1143,853,5,718,0,10
1505,513,10,3444,0,4
221,782,1,2943,0,6
339,205,5,210,0,14
339,205,5,2718,0,14
1641,1424,1,230,0,2
410,1056,5,2708,0,21
385,260,5,3471,0,12
1675,791,5,976,0,12
154,240,5,261,0,6
389,127,5,66,0,5
1395,357,1,2892,0,7
1287,401,10,2989,0,6
1322,707,5,3768,0,12
1754,551,8,699,0,9
1376,750,10,1885,0,11
634,1137,7,3638,0,3
1016,533,1,3339,0,8
1654,30,1,690,0,4
25,1043,3,3244,0,10
586,616,10,2901,0,7
1351,465,10,1012,0,4
1495,86,1,837,0,3
831,531,10,3497,0,14
911,829,5,418,0,5
1148,726,5,2885,149,32
110,277,2,2598,0,6
226,795,3,1696,0,8
1722,1266,5,3407,231,6
1530,681,5,3335,0,9
1265,536,10,1533,0,6
569,746,10,2896,0,6
81,908,10,3597,0,26
1180,737,10,1148,0,6
1711,812,10,1078,0,6
997,731,3,1696,0,8
1709,739,10,3424,0,5
159,180,10,3497,0,14
1748,906,5,2070,0,9
1498,332,1,557,0,6
323,727,1,2626,0,5
1315,290,5,2785,238,7
231,1470,5,1464,0,6
1721,747,10,572,0,11
25,1043,3,3650,0,9
1418,878,7,1451,0,12
1604,1123,1,2032,56,8
222,310,9,2599,0,5
280,415,10,828,0,11
607,407,4,2066,0,15
403,759,3,1696,0,8
1675,791,5,2460,0,10
891,1097,4,1342,0,7
997,731,10,3721,0,9
287,729,3,1696,0,8
940,1054,10,3300,0,8
1604,1123,10,2032,0,8
207,1073,6,852,0,4
768,75,6,1214,0,5
674,1278,5,1126,0,10
1565,813,10,3444,0,4
652,1162,3,1090,0,5
65,760,3,1696,0,8
1662,1406,5,1542,0,6
394,875,5,2255,0,6
997,731,4,3609,0,10
423,48,5,1122,0,9
1721,747,3,1032,0,10
1636,132,1,672,0,5
1131,824,5,1886,0,29
1584,734,3,1032,0,10
836,963,1,2788,0,3
243,1401,5,3458,0,10
65,760,10,1693,0,9
941,174,10,3492,0,7
1266,829,5,3558,0,15
1634,1459,9,1417,0,5
430,693,6,2426,0,4
304,314,2,2599,0,5
361,1322,10,474,0,3
993,48,5,3045,0,3
1684,268,4,1516,0,3
842,921,10,139,0,9
1602,492,5,3538,0,11
882,1075,5,3168,0,7
151,494,3,1696,0,8
224,1416,4,3609,0,10
1706,440,6,2410,0,10
1697,963,1,2262,0,7
997,731,10,3444,0,4
849,516,9,2524,0,9
295,637,9,1330,0,13
179,615,9,2599,0,5
83,609,9,2599,0,5
1028,745,3,1696,0,8
122,68,1,2631,0,3
311,278,9,1109,208,5
1659,532,10,3444,0,4
339,205,5,722,0,11
1248,927,6,854,0,3
1215,782,5,3192,0,3
1606,782,5,785,0,8
879,981,1,3082,0,5
839,1115,4,3609,0,10
1173,1344,4,3609,0,10
1002,505,9,2429,0,6
1433,653,11,73,0,4
678,1431,1,928,0,3
485,153,4,3609,0,10
1675,863,5,332,0,14
47,651,10,3497,0,14
1194,178,10,3498,0,16
1620,846,4,3609,0,10
1721,747,10,3498,0,16
904,198,10,3497,0,14
559,144,10,3497,0,14
1721,747,6,2410,0,10
1205,775,10,3449,0,6
65,760,6,2410,0,10
870,896,5,1242,0,9
378,1029,1,449,0,5
1639,90,1,902,0,6
34,950,1,1785,0,10
403,759,10,1255,0,13
300,550,10,3011,0,7
506,753,10,969,0,8
1413,952,1,367,0,7
1564,1269,6,3690,0,4
736,530,10,1366,0,9
288,737,10,1365,0,9
807,1147,10,3011,0,7
162,484,5,3318,0,8
138,486,10,1781,0,4
476,849,5,417,0,22
476,849,5,3095,0,9
263,597,4,717,0,7
1150,865,4,3627,0,6
1269,1289,4,545,0,6
1150,865,4,3622,0,6
1009,126,4,3621,0,4
589,1301,4,545,0,6
900,1462,1,687,0,8
1718,1181,10,3497,0,14
871,1347,4,3263,0,7
155,150,10,3497,0,14
777,1263,10,3497,0,14
602,1248,9,3025,0,5
200,1311,4,668,0,9
1644,695,4,3385,0,11
997,731,6,2505,0,11
1441,1385,5,3494,0,16
39,868,5,3317,0,13
1697,963,1,2529,0,6
395,925,1,2257,0,13
1232,785,5,3017,0,7
1606,782,10,3444,0,4
1263,886,5,3280,0,15
1783,294,1,1504,0,6
1783,294,1,1503,0,5
128,1112,10,3011,0,7
1359,748,10,2221,0,11
1783,294,1,1502,0,5
339,205,5,721,0,5
743,94,6,847,0,4
201,234,3,1044,0,7
1584,734,10,3444,0,4
403,759,10,3324,0,16
838,209,5,3405,0,7
1605,816,5,1816,0,7
1244,155,10,3498,0,16
1404,1412,4,2635,0,5
372,541,10,3444,0,4
281,1314,4,2972,0,5
1345,736,10,3011,0,7
687,1414,4,3609,0,10
588,1292,4,3609,0,10
395,925,1,1416,0,9
879,981,1,689,0,6
1661,1114,3,1409,0,6
1577,1240,4,3609,0,10
1072,172,10,3497,0,14
485,153,10,3011,0,7
711,906,2,135,235,5
1736,1354,4,3609,0,10
552,1384,4,3609,0,10
671,691,5,22,0,10
507,1293,4,478,0,9
649,249,4,3609,0,10
1485,733,10,3444,0,4
1064,1296,4,3609,0,10
270,20,5,3543,0,12
954,1211,10,81,0,7
1555,1450,4,490,0,8
1249,265,4,3625,0,7
109,1373,4,3626,0,8
275,255,4,3624,0,6
1587,1387,4,3623,0,7
1270,620,9,2264,0,7
580,159,10,3497,0,14
642,1245,5,347,0,14
896,521,10,3498,0,16
1188,1062,1,772,0,4
191,929,1,837,0,3
1615,355,3,452,0,7
1728,1074,1,786,0,4
109,1373,4,3609,0,10
690,1371,4,3609,0,10
607,407,4,3609,0,10
975,560,4,2638,0,6
65,760,10,3498,0,16
1584,734,10,283,0,4
339,205,5,461,0,12
389,127,5,2148,0,12
1058,273,9,3007,0,8
1183,161,10,3688,0,7
1748,906,5,3649,0,9
757,56,10,3765,0,7
1232,785,5,2706,0,7
489,1040,5,3120,0,9
585,540,10,3498,0,16
1402,526,5,55,0,7
1232,785,5,302,0,22
271,529,3,3575,0,10
1768,1172,3,1483,0,9
1768,1172,10,1323,0,7
530,1143,10,3324,0,16
872,849,5,3088,0,12
10,1118,3,2427,0,5
1266,829,5,2965,0,14
1266,829,5,2964,0,15
267,559,5,2088,0,8
1319,201,5,3530,219,9
1433,653,5,3682,0,10
1573,915,1,1924,0,8
1479,823,5,448,0,7
88,346,4,3621,0,4
1340,1446,5,2193,0,14
395,925,1,1706,0,6
161,522,10,3498,0,16
1387,829,5,1050,0,17
1188,1062,4,539,0,6
403,759,10,3011,0,7
194,594,1,2769,0,5
1675,791,5,1852,0,21
1339,883,5,3642,0,17
1740,797,10,2849,0,5
33,435,10,128,0,17
893,1192,10,2873,0,7
77,1104,10,2762,0,3
268,98,6,1158,0,5
1105,171,6,3689,0,3
1345,736,10,2611,0,4
894,469,5,3470,0,18
710,711,5,3605,0,19
1313,116,10,2897,0,4
1788,205,5,973,0,23
6,652,5,3419,0,24
395,925,1,1434,0,3
1675,791,5,3525,0,16
1574,744,10,3011,0,7
1723,517,10,2611,0,4
746,798,10,2611,0,4
974,1280,10,2762,0,3
1464,888,4,3638,0,3
1215,782,5,151,0,9
1555,1450,4,780,0,3
117,1243,4,549,0,4
389,127,9,477,0,11
1030,1251,5,2087,0,9
1433,653,1,2098,57,3
1246,1144,10,1554,0,6
1411,1281,10,1390,0,11
1557,824,5,1077,0,9
1800,757,10,1367,0,7
789,1145,10,3011,0,7
134,1232,4,144,0,8
954,1211,8,2370,0,7
1112,776,10,1684,0,6
1146,559,5,3224,0,11
1433,653,10,3324,0,16
632,1364,4,2789,0,4
1382,139,10,2221,0,11
1555,1450,1,2606,0,8
1675,791,5,2335,0,12
163,430,10,3324,0,16
175,884,5,3604,0,14
1715,398,5,3154,0,16
1583,1361,4,549,0,4
1459,1199,10,2851,0,9
383,1392,5,3730,0,11
1378,1395,4,549,0,4
1009,126,4,549,0,4
1391,1415,4,3638,0,3
836,963,1,1847,0,4
831,531,10,1466,0,4
1768,1172,3,2854,0,6
1146,559,5,3372,0,12
854,81,10,458,0,7
996,352,1,252,0,6
1347,926,5,1682,0,10
25,1043,9,2945,0,3
1748,906,5,1294,0,11
813,459,9,1470,0,17
1804,739,5,3596,0,11
1273,261,10,775,0,6
1232,785,5,1303,0,4
999,1239,5,2038,0,7
608,48,1,2860,0,4
1812,160,10,3324,0,16
1584,734,10,55,0,7
1811,233,5,3537,0,11
147,511,5,1479,0,12
1482,648,6,2218,0,5
791,1146,10,3011,0,7
1534,1137,10,3024,0,5
1675,791,3,2472,0,9
790,1418,5,3208,0,16
1527,143,10,3324,0,16
1105,171,6,2369,0,5
1746,832,10,3324,0,16
1266,829,5,3747,0,8
151,796,10,3324,0,16
1013,168,10,3324,0,16
1675,791,5,1844,0,23
105,1215,5,2612,0,10
1433,653,10,1466,0,4
1151,328,10,3011,0,7
1458,123,1,3227,0,11
1458,123,10,2751,0,4
806,860,10,3324,0,16
508,1188,10,3011,0,7
1095,402,10,2902,0,9
170,814,10,2238,0,6
672,1424,5,1784,218,11
264,1359,4,549,0,4
754,1133,10,3324,0,16
249,526,10,3028,0,11
749,518,10,3655,0,3
1215,782,5,1419,0,3
1788,205,5,3519,0,14
1357,797,10,2850,0,7
793,1457,5,3468,0,16
476,20,5,1311,0,12
62,1458,9,2026,160,8
1036,1350,4,549,0,4
1798,405,3,650,0,3
168,1240,10,887,0,8
1232,829,5,1508,0,13
135,776,5,999,0,10
410,1056,5,3220,0,13
1489,573,10,1466,0,4
389,127,9,2748,0,2
798,274,10,2903,0,9
1232,829,5,3522,0,11
1299,1460,5,3219,0,21
1151,328,10,2848,0,7
1151,328,10,3598,0,9
65,760,10,3011,0,7
1433,653,10,3733,0,6
1028,745,10,999,0,10
1006,623,3,1165,8,4
590,452,10,886,0,13
1163,819,10,3324,0,16
1627,1118,10,3324,0,16
1276,1048,5,3563,0,7
1771,1190,10,1258,0,10
1349,744,10,3324,0,16
918,1197,10,1667,0,4
1594,579,10,3324,0,16
1675,791,5,2445,0,9
270,20,5,3521,210,28
951,736,7,3324,0,16
1789,1413,1,428,0,4
1721,747,10,3324,0,16
1101,1212,10,1668,0,6
21,193,4,2794,0,5
21,193,4,505,0,5
1507,1189,2,189,0,6
1313,116,10,2820,0,7
443,756,10,999,0,10
1601,901,0,3021,0,4
1199,1053,1,3653,0,18
971,556,10,3011,0,7
1737,13,1,226,0,5
618,1210,10,3011,0,7
1761,751,10,3324,0,16
1356,1333,4,200,0,7
1708,293,9,156,0,3
1076,388,3,453,0,3
1404,1412,4,3638,0,3
1685,244,1,243,0,7
777,1263,2,27,0,6
544,1253,5,3060,0,17
1250,827,10,3324,0,16
280,415,1,1864,0,11
1804,739,6,3656,0,4
1492,243,4,554,0,5
189,774,10,610,0,9
1056,1177,7,3324,0,16
1476,1131,5,3117,0,17
398,940,1,1980,0,11
1105,171,10,3324,0,16
977,323,10,1466,0,4
1433,654,5,3564,0,22
389,127,9,1322,0,8
1261,1408,5,3131,0,14
1204,885,10,1690,0,9
81,908,5,3381,0,11
514,913,5,3040,0,13
1347,926,5,2074,0,12
354,805,1,1137,0,16
1531,179,10,3697,0,4
1808,1296,4,515,0,4
125,1307,4,538,0,4
90,1064,9,1945,0,5
58,775,10,2224,0,13
172,880,1,2987,0,9
604,434,10,2979,0,22
51,943,6,83,0,8
476,20,5,3534,0,21
843,1341,4,1388,0,5
339,205,5,2573,0,38
1547,712,10,3024,0,5
1508,783,10,3324,0,16
1382,139,5,3469,0,19
1430,1135,10,3027,0,10
831,531,10,3324,0,16
1668,849,5,2836,0,17
1265,536,10,2321,0,4
1491,444,5,2941,0,27
270,849,5,2703,0,24
1313,116,1,804,0,9
1514,858,5,1971,0,29
1433,653,1,3655,0,3
1491,444,0,3756,0,11
1491,444,8,2811,0,6
773,1168,1,2215,0,9
1774,1006,9,1415,0,7
773,1168,5,2215,0,9
1253,641,5,3284,0,8
1265,536,10,3324,0,16
516,805,10,3324,0,16
801,334,5,451,55,11
1056,1177,1,2283,0,11
1056,1177,1,2282,0,11
296,1379,2,2717,174,16
1674,892,2,2715,174,7
781,1044,2,2714,174,10
1313,116,9,821,0,8
295,637,5,3464,0,12
795,796,10,3499,0,7
1603,699,2,913,237,4
1232,785,5,1891,128,11
1018,1389,4,476,0,6
1018,1389,4,524,0,9
663,747,3,1156,0,9
1189,326,4,547,0,9
24,802,10,3324,0,16
185,519,10,3324,0,16
258,1116,5,3110,0,9
389,127,9,2503,0,13
1164,822,1,70,0,4
674,1278,1,2655,0,3
674,1278,1,2656,0,3
674,1278,1,2657,0,3
569,753,10,3324,0,16
1207,1086,6,2218,0,5
1162,727,10,262,0,16
25,1043,3,3467,0,25
925,1203,10,3324,0,16
1355,567,5,237,0,12
639,645,10,3324,0,16
406,917,4,487,0,5
653,731,10,3324,0,16
1265,536,10,2320,0,4
1537,498,4,549,0,4
1692,1229,2,137,0,5
674,1278,5,1126,88,10
1584,734,10,2325,0,6
1584,734,10,3324,0,16
816,798,10,1466,0,4
810,754,10,1466,0,4
571,760,10,3324,0,16
1563,194,3,1159,0,5
1105,171,10,1466,0,4
1105,171,10,3011,0,7
389,127,5,2435,0,7
1056,1177,10,2282,0,11
288,737,10,2444,0,14
309,1273,4,486,0,10
1676,177,10,2979,0,22
1152,764,10,3012,0,15
1339,883,5,3411,0,12
1011,1374,5,3439,0,9
1675,791,5,1872,0,8
339,205,5,2983,0,6
117,1243,4,1558,0,3
1727,1349,4,549,0,4
391,1320,4,549,0,4
1018,1308,4,199,0,6
1673,912,5,342,0,7
670,247,5,1238,0,9
1176,1012,1,1823,0,2
1088,662,6,3697,0,4
339,205,5,444,0,5
1181,1323,4,630,0,6
600,1022,1,2642,0,4
585,540,10,3324,0,16
1748,906,5,1298,0,5
1664,532,10,1466,0,4
1627,1118,10,2979,0,22
663,747,3,1467,0,5
226,795,10,3491,0,5
1449,313,10,3324,0,16
486,61,6,2218,0,5
978,745,10,1914,0,5
870,896,5,3413,0,16
1748,906,5,2328,73,5
640,44,10,1507,0,4
640,44,5,1821,0,15
392,521,10,1518,0,4
436,3,5,3571,0,15
1788,205,5,2474,0,14
215,1001,1,3334,0,16
494,181,10,3500,0,8
469,780,10,3324,0,16
1797,757,10,999,0,10
749,517,10,999,0,10
88,346,1,3097,0,4
846,736,9,3595,0,8
170,814,5,3462,0,19
469,780,10,1466,0,4
1675,791,5,1961,0,12
353,118,6,263,0,4
1066,136,5,2613,0,12
1302,1110,10,3024,0,5
1666,649,10,3024,0,5
732,1246,9,3090,0,8
825,1302,9,2566,0,17
507,1293,10,1600,0,7
1341,431,10,3328,0,7
771,1372,10,652,0,6
1555,1450,1,2608,0,3
1190,821,10,3501,0,5
1639,90,1,1731,0,4
1616,645,5,1257,0,13
687,1414,4,1045,0,8
392,521,10,999,0,10
682,1129,10,3327,0,6
704,764,10,3324,0,16
1188,1062,4,549,0,4
1094,176,10,3327,0,6
59,36,5,3035,0,9
1308,260,5,3249,0,18
116,800,10,3324,0,16
826,186,10,3326,0,6
228,689,10,3326,0,6
1710,1066,6,3353,0,5
769,1282,10,4,0,11
949,822,10,3324,0,16
37,442,5,353,0,9
108,864,5,3473,0,20
527,799,10,3493,0,12
653,731,10,1466,0,4
1528,1267,10,3493,0,12
1675,791,5,2583,0,14
795,796,10,3493,0,12
315,203,5,3704,0,3
1137,501,10,999,0,10
835,832,10,999,0,10
1721,747,3,1155,0,6
1016,533,10,999,0,10
1515,727,10,999,0,10
403,759,10,999,0,10
1716,1144,10,3493,0,12
1165,248,10,3024,0,5
1504,428,10,3493,0,12
106,158,10,3493,0,12
221,782,5,3151,0,10
338,420,1,1753,0,5
615,914,10,3493,0,12
529,189,10,3493,0,12
1553,9,10,3493,0,12
747,429,10,3493,0,12
369,246,10,3493,0,12
1135,1287,10,3493,0,12
1683,225,10,3493,0,12
330,166,10,3493,0,12
1020,309,10,3493,0,12
1012,149,7,1774,0,5
1640,537,10,3324,0,16
1203,1133,10,3024,0,5
77,1104,10,3024,0,5
1212,486,7,1773,0,5
473,1130,10,3024,0,5
804,653,10,1092,0,3
635,195,1,815,0,2
1178,848,5,2835,0,16
476,20,5,3510,0,14
1702,721,5,2997,0,9
980,1124,5,1053,0,16
1428,928,6,1929,0,5
1223,780,10,2224,0,13
1439,175,10,2977,0,6
1667,1077,6,2217,0,5
1804,739,10,2979,0,22
1551,142,10,2977,0,6
1151,328,5,1787,0,10
27,781,10,2224,0,13
1806,151,10,2979,0,22
583,987,1,2166,0,7
1210,799,10,2224,0,13
479,1119,6,2218,0,5
1124,312,10,2979,0,22
238,457,10,2979,0,22
982,207,1,2970,0,34
727,829,5,2332,0,13
1649,383,10,1609,0,6
161,522,10,999,0,10
357,613,3,1163,0,4
1118,473,5,2052,0,11
65,760,5,3242,0,28
761,394,2,1040,180,6
1228,145,10,3024,0,5
1563,194,6,1168,32,5
10,1118,10,1013,0,6
1379,765,10,1013,0,6
1196,1115,10,3024,0,5
1565,813,10,1608,0,10
1023,630,10,3024,0,5
485,153,10,3024,0,5
1375,1370,9,2502,0,5
1488,187,10,2979,0,22
6,652,5,3652,0,10
1718,1181,10,817,0,9
1232,785,5,2371,0,7
1584,804,10,2232,0,15
604,434,10,2977,0,6
692,184,10,2978,0,10
249,740,10,2233,0,15
1061,162,10,2979,0,22
980,1124,5,2879,0,5
563,808,10,1914,0,5
1512,806,10,2229,0,15
1584,804,5,1744,0,4
24,802,10,2230,0,15
585,540,10,2228,0,15
653,731,10,2231,0,15
285,515,10,2227,0,15
1349,744,10,2234,0,15
944,758,10,2225,0,15
1265,530,10,2235,0,15
1320,647,10,2226,0,15
1675,791,5,3546,0,15
1740,797,10,2236,0,15
533,134,10,3024,0,5
1376,750,10,3024,0,5
1227,103,6,3655,0,3
1286,1367,7,1773,0,5
262,1042,9,1134,0,13
766,258,5,3457,0,23
832,803,10,3024,0,5
523,1079,10,3301,0,13
996,352,1,1940,0,3
608,48,5,2368,0,6
145,939,6,3722,0,4
72,516,10,3024,0,5
810,754,10,1014,0,6
1804,739,10,3024,0,5
339,205,7,1773,0,5
834,722,10,3024,0,5
755,185,10,3493,0,12
1431,182,10,3493,0,12
265,183,10,3493,0,12
1119,542,10,3024,0,5
1744,433,10,3493,0,12
1232,829,5,1314,0,26
614,504,10,3024,0,5
624,547,10,1013,94,6
780,520,10,2224,0,13
1664,532,10,2224,152,13
1775,743,10,2224,0,13
1160,714,10,3024,0,5
1343,1281,10,966,0,11
1526,728,10,968,0,8
197,499,10,971,0,10
922,739,10,3438,0,7
758,735,10,1020,0,10
328,854,1,2701,0,6
1640,537,10,2224,0,13
449,529,10,1003,0,9
1616,645,10,965,0,8
1071,730,10,1000,0,12
585,540,10,3024,0,5
1529,1256,2,977,0,4
1529,1256,4,429,0,4
1232,829,5,3321,0,15
1723,517,10,3743,0,11
986,745,10,3158,0,11
48,781,10,2317,0,7
256,114,1,837,0,3
361,1322,9,707,0,8
1078,441,5,3292,0,13
1436,1009,1,2732,0,6
339,205,5,1694,0,11
848,645,10,3024,0,5
1328,826,10,3024,0,5
170,814,10,2224,0,13
299,231,6,612,0,8
299,231,6,2828,0,5
193,214,7,1773,0,5
459,261,7,1773,0,5
494,877,10,3493,0,12
1723,517,10,3024,0,5
355,202,10,3024,0,5
1601,901,10,1181,9,5
804,653,10,2224,0,13
1795,810,10,970,0,8
520,650,10,3024,0,5
1721,747,10,1021,102,10
290,135,10,3024,0,5
846,736,10,2224,0,13
647,1368,10,1361,0,3
1758,1117,10,3024,0,5
1330,170,10,3024,0,5
440,419,10,3024,0,5
72,516,10,967,0,8
188,796,10,1022,0,10
221,782,5,999,0,10
1512,806,10,3024,0,5
1438,160,10,3024,0,5
1546,154,10,3024,0,5
158,544,10,3024,0,5
1059,1153,10,3024,0,5
1376,750,10,964,0,8
1496,1449,1,250,0,8
455,777,10,3024,0,5
571,760,10,1013,93,6
326,784,10,1013,93,6
563,808,10,1013,198,6
1397,590,1,1572,0,3
968,1148,5,3024,0,5
433,279,3,2725,0,2
1032,122,3,710,0,7
303,834,10,3024,0,5
465,938,5,1730,0,12
1793,741,10,1014,93,6
1300,729,10,1014,93,6
651,791,5,1850,0,17
83,609,1,3476,0,30
187,539,10,3024,0,5
1768,1172,10,2831,0,12
1616,645,10,3743,0,11
587,733,10,1001,0,12
1018,1308,10,880,0,7
698,1358,4,2501,0,8
816,798,10,1023,0,10
704,764,10,1019,0,10
1243,807,10,1018,0,8
1721,747,10,1002,0,4
232,152,10,3024,0,5
700,803,10,23,0,12
119,794,10,1016,0,8
229,502,10,1913,0,3
517,565,1,3315,0,14
1677,1453,3,386,0,6
1065,1126,10,3024,0,5
83,609,5,3476,0,30
326,784,10,3024,0,5
1453,1353,4,256,0,5
872,20,5,2709,0,16
814,799,5,3210,0,14
1432,604,10,3024,0,5
1512,806,10,2783,0,5
1640,537,10,3024,0,5
25,1043,5,2946,0,3
1721,747,3,1154,0,5
1690,694,1,1756,0,7
1721,747,10,1913,0,3
804,653,9,3759,0,9
12,923,1,1220,196,4
1419,412,2,634,196,5
8,709,5,3545,0,10
993,48,5,1758,0,17
1721,747,10,999,173,10
1272,206,3,3001,0,4
727,829,5,207,0,7
854,81,10,1829,0,7
1251,1265,1,658,0,9
1100,621,1,1139,78,5
283,807,10,742,0,8
1433,653,10,2761,0,7
354,805,10,2761,0,7
322,1286,10,3024,0,5
119,794,10,3024,0,5
1351,465,10,3114,0,4
738,1469,1,1089,0,9
680,932,3,204,0,4
119,794,10,1913,0,3
264,1359,4,1673,0,9
68,498,5,3310,0,16
208,251,5,112,0,8
854,81,10,1874,0,10
1313,116,1,2323,0,6
732,217,2,136,0,3
705,1459,5,1672,0,17
1174,496,1,837,0,3
1313,116,2,2442,0,9
152,1120,10,3024,0,5
389,127,5,455,0,5
1140,436,10,3024,0,5
1113,1150,3,3314,0,9
586,616,10,3159,0,6
959,1251,5,3207,0,6
1103,648,10,1017,0,6
938,1193,10,3134,0,9
1577,1240,1,790,0,6
361,1322,1,706,0,5
297,1021,1,3033,0,9
315,203,5,1440,0,3
1301,270,3,1457,0,4
1269,1289,4,511,0,5
1547,713,10,3024,0,5
214,1366,4,3550,0,3
893,1192,1,158,0,6
1026,716,7,3694,0,12
563,808,10,3014,0,11
1154,727,10,3024,0,5
556,770,5,3539,0,16
1694,139,5,3557,0,5
1039,126,4,526,0,6
525,595,5,822,0,2
869,321,9,2526,0,5
502,489,5,3399,0,7
1291,817,10,3024,0,5
1748,906,5,3217,0,9
324,1060,5,2110,0,10
135,776,10,2761,0,7
1260,1214,6,3394,0,7
476,848,5,336,0,11
874,48,8,1775,0,8
632,1364,4,3629,0,9
289,1247,9,135,0,5
141,233,2,933,0,5
1398,1372,10,675,0,5
607,407,4,3608,0,11
1768,1172,5,2888,0,17
980,1124,3,1221,0,8
881,305,3,381,0,4
880,672,5,1437,0,8
128,1112,3,3030,0,6
1459,1199,10,1662,0,8
336,1297,4,3393,0,7
608,48,5,2742,0,14
119,794,10,3113,0,5
636,1070,6,3696,0,3
1526,728,10,2761,0,7
1633,1397,4,3016,0,6
1633,1397,4,514,0,7
1688,973,1,792,0,6
1041,1028,1,792,0,6
1029,979,1,792,0,6
1212,486,10,3743,0,11
985,1333,4,3308,0,6
1342,1289,9,773,0,10
854,81,10,1557,0,8
309,1273,4,701,0,8
1702,721,5,738,0,2
684,633,4,3304,0,4
944,758,10,3114,0,4
1714,1355,4,2797,0,7
1617,445,1,142,0,7
843,1341,4,1387,0,6
