Автор,Место работы автора,Адресат,Специализация адресата,Содержание,Примечание
Шепелева Л.Ю.,"ПАО ""Объединенная авиастроительная корпорация""","Глушко Д.Е.
Никул Е.В.",Административный директор,корпоративн модул задан демэкзам, 
Бавыкин В.С.,ФГБОУВО Амурский гуманитарно-педагогический государственный университет,Лысова С.И.,Вузовские чемпионаты,участ финал II национальн межвузовск чемпионат молод профессионал ворлдскиллс росс, 
Клинская О.Е.,"ФГБОУВО ""ПГУ им-Шолом-Алейхема""",Лысова С.И.,Вузовские чемпионаты,участ финал II национальн межвузовск чемпионат молод профессионал ворлдскиллс росс, 
Кадакин В.В.,"ГОУ ВПО ""Мордовский государственный педагогический институт им. М.Е. Евсевьева""",Лысова С.И.,Вузовские чемпионаты,участ финал II национальн межвузовск чемпионат молод профессионал ворлдскиллс росс, 
Месхи Б.Ч.,Донской государственный технический университет,Лысова С.И.,Вузовские чемпионаты,рассмотрен возможн отм уплат ежегодн взнос, 
Аникеев А.С.,Министерство образования и науки Калужской области,Глушко Д.Е.,Специалист по региональным чемпионатам,участ семинар рамк делов программ фина II национальн межвузовск чемпионат молод профессионал ворлдскиллс росс шаблон письм, 
Федорчук С.В.,Министерство образования Новосибирской области,Глушко Д.Е.,Специалист по региональным чемпионатам,встреч итог фнч 2018, 
Голикова Т.А.,Аппарат Правительства Российской Федерации,Уразов Р.Н.,Генеральный директор,заключен дополнительн соглашен оплат взнос WorldSkills Europe прав проведен чемпионат европ 2022, 
Губайдуллин Э.Ф.,"Автономная некоммерческая организация ""Центр развития профессиональных компетенций""",Уразов Р.Н.,Генеральный директор,приглашен региональн чемпионат молод профессионал WorldSkills Russia республик татарста 2018/2019 чемпионатн цикл, 
Нерубенко С.М.,"ГАОУ СПО МО «Профессиональный колледж «Московия»
Касымов Р.А.",Тымчиков А.Ю.,Сертификация экспертов WS,соответств техническ баз инфраструктурн лист обеспечен оборудован площадк, 
Печенко Р.Н.,Администрация Погарского района Брянской области,Глушко Д.Е.,Специалист по региональным чемпионатам,участ чемнар инструмент развит движен ворлдскиллс моногород, 
Шохин А.,Национальный совет при Президенте РФ по профессиональным квалификациям,Уразов Р.Н.,Генеральный директор,участ форум национальн систем квалификац росс 6 декабр 2018г, 
Корхов И.А.,АНО «Корпоративная Академия Госкорпорации «Росатом»,Глушко Д.Е.,Специалист по региональным чемпионатам,экспертн участ проектн инженерн смен юниор AtomSkills, 
Потехина И.П.,Министерство образования и науки Российской Федерации,Уразов Р.Н.,Генеральный директор,рассмотрен проект документ субсидирован проект билет будущ, 
Ермошкина Е.М.,"ООО СП ""СОДРУЖЕСТВО""",Уразов Р.Н.,Генеральный директор,участ III всероссийск форум федерльн учебно-методическ объединен систем спо, 
Иванова Г.П.,"Департамент образования, науки и молодежной политики Воронежской области",Глушко Д.Е.,Специалист по региональным чемпионатам,участ семинар рамк делов программ фина II национальн межвузовск чемпионат молод профессионал ворлдскиллс росс шаблон письм, 
Смирницкая М.В.,Департамент образования города Москвы,Уразов Р.Н.,Генеральный директор,благодарствен письм глав субъект EuroSkills 2018 шаблон, 
Потехина И.П.,Министерство образования и науки Российской Федерации,Уразов Р.Н.,Генеральный директор,вх- преставлен предложен п.2 перечн поручен итог совещан путин в. членамиправительсв рф 02.10.2018 утвержден 01.11.2018 пр-2021 награжден государствен прем победител ES2018 будапешт, 
Возняк С.А.,Департамент образования и молодежной политики Ханты-Мансийского автономного округа-Югры,Крайчинская С.Б.,Вопросы повышения квалификации,участ торжествен церемон открыт IV региональн чемпионат командирован лукин а., 
Щелкун Н.И.,РКЦ Хабаровского края,Крайчинская С.Б.,Вопросы повышения квалификации,оказан содейств обучен региональн эксперт 6 7 ноябр 2018г, 
Щелкун Н.И.,РКЦ Хабаровского края,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен регламент VI региональн чемпионат хабаровк кра, 
Зайцев А.В,Правительство Сахалинской области,Глушко Д.Е.,Специалист по региональным чемпионатам,участ мероприят V национальн чемпионат сквозн рабоч професс высокотехнологичн отрасл промышлен методик WorldSkills WorldSkills Hi-Tech 2018, 
Лекарев Г.Г.,Министерство труда и социальной защиты Российской Федерации,Уразов Р.Н.,Генеральный директор,утвержден дорожн карт формирован популяризац культур безопасн труд сред молодеж ог-п12-2249 18.04.2018, 
Абрамов Э.Н.,Правительство Курганской области Департамент образования и науки Курганской области,Крайчинская С.Б.,Вопросы повышения квалификации,проведен проектно-аналитическ сесс создан цопп, 
Ракова М.Н.,Министерство просвещения Российской Федерации,Уразов Р.Н.,Генеральный директор,согласован федеральн проект успех кажд ребенк письм ап рф 2 июл 2018г № 4919п-46, 
Ракова М.Н.,Министерство просвещения Российской Федерации,Уразов Р.Н.,Генеральный директор,согласован федеральн проект повышен конкурентоспособн профессиональн образован письм ап рф 2 июл 2018г № 4919п-46, 
Ветлужских А.Л.,Депутат Государственной Думы,Уразов Р.Н.,Генеральный директор,приглашен кругл стол интеграц сфер наставничеств производств 14.11.2018, 
Савина Е.,"Аналитический центр ""Форум""",Уразов Р.Н.,Генеральный директор,участ совещан занят люд предпенсион возраст 8 ноябр 2018г,совещан пенсион реформ перенос 15 ноябр четверг 17:00
Соляников Ю.В.,Комитет по образованию Правительства Санкт-Петербурга,Уразов Р.Н.,Генеральный директор,участ церемон открыт региональн чемпионат 28 ноябр 2018г центр экспофорум, 
Федоров А.А.,Нижегородский государственный педагогический университет им.К.Минина,Мухаметзянов Д.Ф.,Административный директор,предоставлен калькуляц размер сумм выплат взнос договор 125-ап, 
Тарабрин К.А.,Министерство промышленности и торговли РФ,Уразов Р.Н.,Генеральный директор,ежегодн совещан руководител кадров служб организац опк, 
Артемьев И.А.,"ГБПОУ ""Московский государственный образовательный комплекс""",Лысова С.И.,Вузовские чемпионаты,участ финал межвузовск чемпионат, 
Сапронов Н.В.,Центр общественно-политических проектов,Уразов Р.Н.,Генеральный директор,приглашен участ экспертн опрос рынок учебн литератур контекст формирован современ образовательн сред рф 2018-2025, 
Гудыно А.В.,"ОАО ""ПАРАИНВЕСТ""",Алимов А.А.,Административный директор,поврежден двер диспетчерск ток чист пруд, 
Беляева О.А.,Департамент образования администрации Владимирской области,Глушко Д.Е.,Специалист по региональным чемпионатам,участ семинар рамк делов программ фина II национальн межвузовск чемпионат молод профессионал ворлдскиллс росс шаблон письм, 
Синюгина Т.Ю.,Министерство просвещения Российской Федерации,Уразов Р.Н.,Генеральный директор,направлен информац вопрос улучшен материально-техническ кадров обеспечен образовательн деятельн поручен президент рф 4 ма 2016г № пр-869, 
Пилипенко О.В.,Орловский государственный университет имени И.С. Тургенева,Лысова С.И.,Вузовские чемпионаты,замен участник сергеев а.с. финал нмч, 
Гутман В.А.,Министерство образования и науки Астраханской области,Глушко Д.Е.,Специалист по региональным чемпионатам,соревнован рабоч професс специалист возрастн категор 50+, 
Бордачева С.В.,ИФНС России №33 по г.Москве,Саликова К.В.,Административный директор,решен отказ зачет сумм налог, 
Черноскутова И.А.,Министерство образования и науки Российской Федерации. Департамент государственной политики в сфере подготовки рабочих кадров и ДПО,Уразов Р.Н.,Генеральный директор,предоставлен информац вопрос привлечен уча подведомствен министерств образовательн организац спо участ чемпионат перечен поручен президент рф 29 декабр 2016г № пр-2582, 
Сапронов Д.В.,"НО ""Союзцемент""",Уразов Р.Н.,Генеральный директор,участ форум антиконтрафакт 2018 секц развит госрегулирован сфер производств оорот стройматериал залог безопасн строительств 19-21 ноябр 2018г, 
Шкляр А.А.,Министерство образования и науки Ульяновской области,Глушко Д.Е.,Специалист по региональным чемпионатам,согласован изменен срок проведен рч, 
Аксенов С.В.,Главе Республики Крым,Глушко Д.Е.,Специалист по региональным чемпионатам,включен соста программн комитет рамк ялтинск международн экономическ форум такж участ перв заседан 9 2018 15.00 москв, 
Личковаха Л.Р.,Региональный координационный центр Челябинской области,Глушко Д.Е.,Специалист по региональным чемпионатам,согласован перенос срок проведен компетенц рамк рч, 
Ануфриева И.В.,Правителсьтво Ярославской области. Управление массовых коммуникаций,Глушко Д.Е.,Специалист по региональным чемпионатам,результат EuroSkills 2018, 
Викторов С.Г.,"АО ""Радиозавод""",Никул Е.В.,Новые компитненции,направлен оригина акт оказан спонсорств, 
Огородова Л.М.,Администрация Томской области,Никул Е.В.,Новые компитненции,участ чемпионат DigitalSkills, 
Сафонова Г.И.,Министерство образования Оренбургской области,Глушко Д.Е.,Специалист по региональным чемпионатам,размещен результат EuroSkills 2018, 
Лобанов И.В.,Государственный Университет Управления,Уразов Р.Н.,Генеральный директор,участ работ международн научно-практическ конференц шаг будущ : искусствен интеллект цифров экономик 6-7 дек 2018 качеств выступа москв, 
Козлов А.А.,Министерство Российской Федерации по развитию Дальнего Востока,Уразов Р.Н.,Генеральный директор,участ фестивал дни дальн восток качеств спикер сесс карьер границ : нов стратег рынк труд 14 дек 2018 москв, 
Сабитов А.Р.,АО ХМАО-Югры Сургутский политехнический колледж,Глушко Д.Е.,Специалист по региональным чемпионатам,согласован проведен рч этап, 
Юрьева С.Н.,Аппарат Правительства Российской Федерации,Уразов Р.Н.,Генеральный директор,направлен замечан исполнен п. 1 перечн поручен президент росс 23 фев 2018 № пр-328 обеспечен принят нормативн акт реализац проект билет будущ а8-10584-2, 
Абдулина Р.Ю.,Комитет по молодежной политике и взаимодействию с общественными организациями г. Санкт-Петербург,Уразов Р.Н.,Генеральный директор,участ петербургск международн молодежн форум пммф качеств почетн гост 1 дек 2018 санкт-петербург такж возможн выступ партнер форум оказа содейств подготовк одн тематическ направлен, 
Гудыно А.В.,"ОАО ""ПАРАИНВЕСТ""",Бородин И.С.,Административный директор,необходим прохожден аттестации/переаттестац, 
Черноскутова И.А.,Министерство образования и науки Российской Федерации. Департамент государственной политики в сфере подготовки рабочих кадров и ДПО,Уразов Р.Н.,Генеральный директор,участ совещан вопрос разработк план основн мероприят подготовк проведен Euroskills 2022 санкт-петербург 2 2018 10.00 москв, 
Федоров А.Ф.,Министерство образования Саратовской области,Глушко Д.Е.,Специалист по региональным чемпионатам,соревнован рабоч професс специалист возрастн категор 50+, 
Шевцова Т.А.,Департамент образования Орловской области,Глушко Д.Е.,Специалист по региональным чемпионатам,размещен результат EuroSkills 2018, 
Король А.М.,Министерство образования и науки Хабаровского края,Глушко Д.Е.,Специалист по региональным чемпионатам,размещен результат EuroSkills 2018, 
Мерцалова М.О.,Управление информации - пресс-службы Администрации Губернатора Санкт-Петербурга,Глушко Д.Е.,Специалист по региональным чемпионатам,результат EuroSkills 2018, 
Сурат И.Л.,"НОЧУ ВО ""Московский экономический институт""",Лысова С.И.,Вузовские чемпионаты,участ фнмч 2018, 
Поминов А.И.,Министерство образования и науки Республики Татарстан,Уразов Р.Н.,Генеральный директор,включен экспертн совет проект развит талант профессиональн ориентац школьник, 
Усынина Т.В.,ЧОУ ВО «Международный Институт Дизайна и Сервиса»,Лысова С.И.,Вузовские чемпионаты,конкурсант фнмч 2018, 
Бакайтис В.И.,Сибирский университет потребительской кооперации,Лысова С.И.,Вузовские чемпионаты,замен участник фнмч 2018, 
Губайдуллин Э.Ф.,"Автономная некоммерческая организация ""Центр развития профессиональных компетенций""",Тымчиков А.Ю.,Сертификация экспертов WS,замен компетенц свидетельств эксперт рт прав проведен региональн чемпионат стандарт ворлдскиллс, 
Мурычев А.В.,Совет по профессиональным квалификациям финансового рынка,Уразов Р.Н.,Генеральный директор,приглашен конференц цифровизац драйвер професс будущ 15 ноябр 2018г, 
Соляников Ю.В.,Комитет по образованию Правительства Санкт-Петербурга,Лисова Т.А.,Административный директор,приглашен научно-практическ конференц,задвоен письм WSR/1-2565/2018
Прыткова Ю.В.,Правительство Свердловской области,Глушко Д.Е.,Специалист по региональным чемпионатам,освещен итог чемпионат европ EuroSkills 2018, 
Смольянинов А.В.,Управление образования и науки Липецкой области,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен ссылок материал связа торжествен прием победител чемпионат европ бабошкин в.с, 
Ученов А.А.,Министерство промышленности и торговли Российской Федерации,Уразов Р.Н.,Генеральный директор,направлен информац проведен 2018 год корпоративн чемпионат итог Hi-Tech, 
Якутов О.М.,Министерство образования и науки Амурской области,Глушко Д.Е.,Специалист по региональным чемпионатам,направлен соглашен сотрудничеств реализац проект билет будущ, 
Креков П.В.,Правительство Свердловской области Министерство культуры и туризма Свердловской области,Глушко Д.Е.,Специалист по региональным чемпионатам,соревнован рабоч професс специалист возрастн категор 50+, 
Бачевский С.В.,Санкт-Петербургский государственный университет телекоммуникаций им.проф.М.А.Бонч-Бруевича,Лысова С.И.,Вузовские чемпионаты,включен список участник фина межвузовск чемпионат тимченк и., 
Матин Б.В.,Региональный координационный центр во Владимирской области,Недоспасова О.В.,Реклама и сотрудничество,проведен онлайн-опрос сред участник WorldSkills Russia Juniors, 
Омарова У.,Министерство образования и науки Республики Дагестан,Глушко Д.Е.,Специалист по региональным чемпионатам,пилотн апробац проведен демэкзам республик дагеста, 
Панина Е.В.,Депутат Государственной Думы,Уразов Р.Н.,Генеральный директор,участ заседан оргкомитет VI московск международн инженерн форум 9 ноябр 2018г, 
Соляников Ю.В.,Комитет по образованию Правительства Санкт-Петербурга,Глушко Д.Е.,Специалист по региональным чемпионатам,участ мероприят V национальн чемпионат сквозн рабоч професс высокотехнологичн отрасл промышлен методик WorldSkills WorldSkills Hi-Tech 2018, 
Каплюк М.А.,"ФГБОУ ВПО ""Ростовский государственный университет путей сообщения""",Лысова С.И.,Вузовские чемпионаты,снижен размер ежегодн взнос, 
Силинг А.Л.,Агентство стратегических инициатив по продвижению новых проектов,Глушко Д.Е.,Специалист по региональным чемпионатам,приглашен экспертн совет проект развит талант профессиональн ориентац школьник билет будущ, 
Усынина Т.В.,ЧОУ ВО «Международный Институт Дизайна и Сервиса»,Саликова К.В.,Административный директор,размещен компетенц дизайн можн одежд аксессуар площадк соревнован, 
Черноскутова И.А.,Министерство образования и науки Российской Федерации. Департамент государственной политики в сфере подготовки рабочих кадров и ДПО,Уразов Р.Н.,Генеральный директор,проведен заседан комисс вопрос проведен выставк Global Education 1 ноябр 2018 г, 
Бердников А.В.,"Глава Республики Алтай, Председатель Правительства",Глушко Д.Е.,Специалист по региональным чемпионатам,участ мероприят V национальн чемпионат сквозн рабоч професс высокотехнологичн отрасл промышлен методик WorldSkills WorldSkills Hi-Tech 2018, 
Бобраков А.Ю.,"НО ""Фонд информационной поддержки социально-экономического развития Дальнего Востока""",Уразов Р.Н.,Генеральный директор,участ фестивал дни дальн восток выступлен качеств спикер сесс карьер границ 13-15 декабр 2018г, 
Швец И.Ю.,"ГБУ города Москвы ""Ресурсный центр по развитию и поддержке волонтерского движения ""Мосволонтер""",Уразов Р.Н.,Генеральный директор,участ выездн интенсив доброкруг добр вокруг обсужден решен насущн пробл волонтерск сообществ 16-18 2018 г. звенигород, 
Федорук М.П.,"ФГБОУ ВПО ""Новосибирский национальный исследовательский государственный университет""",Лысова С.И.,Вузовские чемпионаты,замен участник фнмч 2018, 
Суздальцева А.А.,Региональный координационный центр в Московской области,Глушко Д.Е.,Специалист по региональным чемпионатам,согласован кандидатур дмитриев м.г. соста оргкомитет рч московск област, 
Груздев Д.Н.,"ФГУП ""Международное информационное агентство ""РОССИЯ СЕГОДНЯ""",Уразов Р.Н.,Генеральный директор,участ экспертно-медийн форум молод учен приоритет союзн государств 13-14 2018 москв, 
Сидоров О.А.,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ВЫСШЕГО ОБРАЗОВАНИЯ ""МАРИЙСКИЙ ГОСУДАРСТВЕННЫЙ УНИВЕРСИТЕТ""",Лысова С.И.,Вузовские чемпионаты,замен участник фнмч 2018, 
Мнускина И.В.,"Автономная некоммерческая образовательная организация высшего образования Центросоюза Российской Федерации ""Российский университет кооперации"" Казанский кооперативный институт",Лысова С.И.,Вузовские чемпионаты,замен участник фнмч 2018, 
Сканцев В.М.,Федеральное государственное бюджетное образовательное учреждение высшего образования «Брянский государственный технический университет»,Лысова С.И.,Вузовские чемпионаты,участ фнмч 2018, 
Куприн В.К.,"ООО ""Демлинк""",Мухаметзянов Д.Ф.,Административный директор,предоставлен информац возобновлен оплат, 
Кулешова Т.В.,Департамент образования и науки Брянской области,Глушко Д.Е.,Специалист по региональным чемпионатам,объявлен благодарн фнч 2018, 
Щелкун Н.И.,РКЦ Хабаровского края,Крайчинская С.Б.,Вопросы повышения квалификации,согласован кандидатур менеджер компетенц проведен обучен, 
Панина Е.В.,Депутат Государственной Думы,Уразов Р.Н.,Генеральный директор,участ московск международн инженерн форум инженерн кадр цифров экономик 21-22 2018 москв, 
Ларионова Н.И.,"АО ""Корпорация МСП""",Глушко Д.Е.,Специалист по региональным чемпионатам,заинтересован двух компан трудоустройств участник движен WS, 
Михайлов С.В.,"ГБПОУ ""Политехнический колледж им. Н.Н. Годовикова""",Саликова К.В.,Административный директор,возможн размещен компетенц нейропилотирован площадк соревнован, 
Свинаренко А.Г.,"ОАО ""РОСНАНО""",Уразов Р.Н.,Генеральный директор,персональн состав рабоч групп вопрос оценк квалификац качеств подготовк кадр, 
Ажгиревич А.И.,"ОООР ""Союз Машиностроителей России""",Тымчиков А.Ю.,Сертификация экспертов WS,согласован професиональн стандарт, 
Шохин А.,Национальный совет при Президенте РФ по профессиональным квалификациям,Уразов Р.Н.,Генеральный директор,направлен протокол заочн заседан национальн совет 19 октябр 2018 год №30, 
Кузина Л.В.,Государственное бюджетное профессиональное образовательное учреждение Московской области “Ногинский колледж”,Тымчиков А.Ю.,Сертификация экспертов WS,оказан методическ помощ направлен участ семинар психолого-педагогическ особен профессиональн обучен школьник узалуков а.в. 13 ноябр 2018 год, 
Ялчикаева Г.Р.,Министерство образования Республики Башкортостан,Уразов Р.Н.,Генеральный директор,участ уфимск международн салон образован образован будущ 7-10 ноябр 2018 г, 
Резник А.П.,"Всероссийский детский центр ""Смена""",Глушко Д.Е.,Специалист по региональным чемпионатам,комплектован вдц смен обуча 2018 год, 
Потехина И.П.,Министерство образования и науки Российской Федерации,Уразов Р.Н.,Генеральный директор,направлен протокол заседан проектор, 
Михайлова И.В.,Севастопольский центр развития образования,Уразов Р.Н.,Генеральный директор,приглашен III региональн чемпионат молод профессионал севастопол, 
Кадыров А.Р.,"АНО ""Дирекция спортивных и социальных проектов""",Саликова К.В.,Административный директор,согласован концепц пребыван посетител, 
никитин а.с.,Администрация Новгородской области,Глушко Д.Е.,Специалист по региональным чемпионатам,участ мероприят V национальн чемпионат сквозн рабоч професс высокотехнологичн отрасл промышлен методик WorldSkills WorldSkills Hi-Tech 2018, 
Федорчук С.В.,Министерство образования Новосибирской области,Глушко Д.Е.,Специалист по региональным чемпионатам,благодарствен письм глав субъект EuroSkills 2018 шаблон, 
без автора,Без автора,Уразов Р.Н.,Генеральный директор,участ совещан оргкомитет VI московск инженерн форум 9 ноябр 2018 г, 
Беленькая О.Ю.,"Департамент науки, промышленной политики и предпринимательства города Москвы",Уразов Р.Н.,Генеральный директор,оказан содейств касательн внесен изменен соглашен департамент предпринимательств инновацион развит город москв, 
Тарасов С.В.,Комитет общего и профессионального образования Ленинградской области,Никул Е.В.,Новые компитненции,приглашен чемпионат WorldSkills Hи–Tеч 2018, 
Кривов Ю.И.,Правительство Севастополя,Глушко Д.Е.,Специалист по региональным чемпионатам,соревнован рабоч професс специалист возрастн категор 50+, 
Тунев М.В.,Правительство Республики Тыва,Глушко Д.Е.,Специалист по региональным чемпионатам,состав сми WorldSkills Kazan 2019, 
Черноскутова И.А.,Министерство образования и науки Российской Федерации. Департамент государственной политики в сфере подготовки рабочих кадров и ДПО,Крайчинская С.Б.,Вопросы повышения квалификации,проведен совещан программ повышен квалификац мен 5000 преподател спо, 
Кресс В.М.,Федеральное собрание РФ,Уразов Р.Н.,Генеральный директор,участ заседан кругл стол законодательн обеспечен подготовк квалифицирова рабоч кадр экономик субъект рф 8 ноябр 2018г, 
Трутнев А.Ю.,Администрация Владимирской области,Глушко Д.Е.,Специалист по региональным чемпионатам,участ мероприят V национальн чемпионат сквозн рабоч професс высокотехнологичн отрасл промышлен методик WorldSkills WorldSkills Hi-Tech 2018, 
Огородова Л.М.,Администрация Томской области,Никул Е.В.,Новые компитненции,проведен онлайн отбор чемпионат DigitalSkills, 
Шонтукова И.,"Министерство просвещения, науки и по делам молодежи Кабардино-Балкарской Республики",Глушко Д.Е.,Специалист по региональным чемпионатам,участ мероприят V национальн чемпионат сквозн рабоч професс высокотехнологичн отрасл промышлен методик WorldSkills WorldSkills Hi-Tech 2018, 
Ракова М.Н.,Министерство просвещения Российской Федерации,Уразов Р.Н.,Генеральный директор,формирован конкурсн комисс проведен отбор субсидирован 2019 год, 
Белозеров И.Н.,Министерство образования и науки Удмуртской Республики,Глушко Д.Е.,Специалист по региональным чемпионатам,участ мероприят V национальн чемпионат сквозн рабоч професс высокотехнологичн отрасл промышлен методик WorldSkills WorldSkills Hi-Tech 2018, 
Мордовкина Н.В.,Администрация Тамбовской Области,Глушко Д.Е.,Специалист по региональным чемпионатам,участ мероприят V национальн чемпионат сквозн рабоч професс высокотехнологичн отрасл промышлен методик WorldSkills WorldSkills Hi-Tech 2018, 
Черноскутова И.А.,Министерство образования и науки Российской Федерации. Департамент государственной политики в сфере подготовки рабочих кадров и ДПО,Уразов Р.Н.,Генеральный директор,предоставлен информац внедрен дэ стандарт вср качеств ги образовательн программ спо ____________________________________________ перечен поручен президент росс 29 дек 2016 № пр-2582 п. 2б, 
Ахметова Э.Ф.,"Республиканское агентство по печати и массовым коммуникациям ""Татмедиа""",Уразов Р.Н.,Генеральный директор,размещен сми рт публикац прошедш чемпионат европ профессиональн мастерств EuroSkills-2018, 
Соляников Ю.В.,Комитет по образованию Правительства Санкт-Петербурга,Глушко Д.Е.,Специалист по региональным чемпионатам,объявлен благодарн фнч 2018, 
Панова О.О.,"ГБОУ ДПО Республики Крым ""Крымский центр развития профессионального образования""",Глушко Д.Е.,Специалист по региональным чемпионатам,соревнован рабоч професс специалист возрастн категор 50+, 
Судленков А.А.,"АПОУ Чувашской области ""Межрегиональный центр компетенций - Чебоксарский электромеханический колледж""",Дмитриев М.Г.,Административный директор,участ заседан оргкомитет подготовк проведен рч 1 2018 15.00 г. чебоксар, 
Судленков А.А.,"АПОУ Чувашской области ""Межрегиональный центр компетенций - Чебоксарский электромеханический колледж""",Глушко Д.Е.,Специалист по региональным чемпионатам,региональн чемпионат чувашск республик, 
Куанов А.А.,Министерство экономического развития и торговли Республики Адыгея,Глушко Д.Е.,Специалист по региональным чемпионатам,участ мероприят V национальн чемпионат сквозн рабоч професс высокотехнологичн отрасл промышлен методик WorldSkills WorldSkills Hi-Tech 2018, 
Жолобова О.В.,Региональный координационный центр Самарской области,Глушко Д.Е.,Специалист по региональным чемпионатам,соревнован рабоч професс специалист возрастн категор 50+, 
Овечкин И.Б.,"ГОАПОУ ""Липецкий индустриально-строительный колледж""",Глушко Д.Е.,Специалист по региональным чемпионатам,согласован проведен чемпионат навык мудр рамк рч липецк област, 
Биктуганов Ю.И.,Министерство общего и профессионального образования Свердловской области,Глушко Д.Е.,Специалист по региональным чемпионатам,призер чемпионат европ профмастерств Euroskills 2018, 
Кириллова С.И.,Физические лица,Уразов Р.Н.,Генеральный директор,порч имуществ гр-ки кириллов с.и. котор предостав автомобил тренировк национальн сборн,скриншот фотограф практик сохраня
Весна Е.Б.,"ФГБОУ ВПО ""Национальный исследовательский ядерный университет ""МИФИ""",Лысова С.И.,Вузовские чемпионаты,замен участник фнмч 2018, 
Корсаков И.Ю.,Правительство Республики Карелия,Глушко Д.Е.,Специалист по региональным чемпионатам,участ мероприят V национальн чемпионат сквозн рабоч професс высокотехнологичн отрасл промышлен методик WorldSkills WorldSkills Hi-Tech 2018, 
Васильева Т.В.,Департамент образования города Москвы,Глушко Д.Е.,Специалист по региональным чемпионатам,состав экспертн совет проект развит талант профессиональн ориентац школьник билет будущ, 
